family,family_common_name,scientific_name,classification,iucn_classification,assessment_date,iucn_assessment_date,authority,authority_link,species_link
Cichlidae,Cichlids,Copadichromis,CEW,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=2362
Cichlidae,Cichlids,Copadichromis,CEN,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=2070
Cichlidae,Cichlids,Coptodon bakossiorum,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21888/0,https://cichlidae.com/species.php?id=632
Cichlidae,Cichlids,Coptodon bemini,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21889/0,https://cichlidae.com/species.php?id=634
Cichlidae,Cichlids,Coptodon bythobates,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21890/0,https://cichlidae.com/species.php?id=637
Cichlidae,Cichlids,Coptodon deckerti,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21897/0,https://cichlidae.com/species.php?id=645
Cichlidae,Cichlids,Coptodon flavus,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21891/0,https://cichlidae.com/species.php?id=647
Cichlidae,Cichlids,Coptodon gutturosus,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21892/0,https://cichlidae.com/species.php?id=650
Cichlidae,Cichlids,Coptodon imbrifernus,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21893/0,https://cichlidae.com/species.php?id=651
Cichlidae,Cichlids,Coptodon kottae,EN,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21898/0,https://cichlidae.com/species.php?id=653
Cichlidae,Cichlids,Coptodon snyderae,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21894/0,https://cichlidae.com/species.php?id=661
Cichlidae,Cichlids,Coptodon spongotroktis,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21895/0,https://cichlidae.com/species.php?id=663
Cichlidae,Cichlids,Coptodon thysi,CR,,Feb-2009,,IUCN,http://www.iucnredlist.org/details/21896/0,https://cichlidae.com/species.php?id=665
Cichlidae,Cichlids,Corematodus shiranus,CEN,CR,Jan-2017,Jun-2018,AK,,https://cichlidae.com/species.php?id=1388
Cichlidae,Cichlids,Cribroheros bussingi,CEN,,Jan-2017,,PVL,,https://cichlidae.com/species.php?id=359
Cichlidae,Cichlids,Cribroheros rhytisma,CEN,LC,Jan-2017,Mar-2007,PVL,,https://cichlidae.com/species.php?id=179
Cichlidae,Cichlids,Cyathopharynx foae,CVU,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=34
Cichlidae,Cichlids,Cyathopharynx furcifer,CVU,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=35
Cichlidae,Cichlids,Cyclopharynx fwae,CEN,LC,Jan-2020,Feb-2009,GS,,https://cichlidae.com/species.php?id=1714
Cichlidae,Cichlids,Cyclopharynx schwetzi,CEN,LC,Jan-2020,Feb-2009,GS,,https://cichlidae.com/species.php?id=1715
Cichlidae,Cichlids,Cyprichromis,CVU,,Jan-2024,,AK,,https://cichlidae.com/reference.php?id=487
Cichlidae,Cichlids,Cyrtocara moorii,CVU,VU,Jan-2017,May-2018,AK,,https://cichlidae.com/species.php?id=30
Cichlidae,Cichlids,Danakilia,CVU,,Jan-2017,,AL,,https://cichlidae.com/species.php?id=313
Cichlidae,Cichlids,Dimidiochromis dimidiatus,CVU,LC,Jan-2024,Jun-2018,AK,,https://cichlidae.com/species.php?id=37
Cichlidae,Cichlids,Docimodus johnstoni,CVU,LC,Jan-2024,Jun-2018,AK,,https://cichlidae.com/species.php?id=1613
Cichlidae,Cichlids,Enantiopus,CCR,,Jan-2024,,AK,,https://cichlidae.com/species.php?id=42
Cichlidae,Cichlids,Enigmatochromis lucanusi,CVU,,Jan-2017,,AL,,https://cichlidae.com/species.php?id=2328
Cichlidae,Cichlids,Enterochromis coprologus,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/185823/0,https://cichlidae.com/species.php?id=2658
Cichlidae,Cichlids,Enterochromis erythromaculatus,EN,,Jan-2006,,IUCN,http://www.iucnredlist.org/details/60509/0,https://cichlidae.com/species.php?id=1740
Cichlidae,Cichlids,Enterochromis paropius,CEN,LC,Jan-2017,Mar-2010,GS,,https://cichlidae.com/species.php?id=1911
Cichlidae,Cichlids,Enterochromis,CEN,,Jan-2017,,GS,,
Cichlidae,Cichlids,Enterochromis,CEW,,Jan-2017,,GS,,
Cichlidae,Cichlids,Etia nguti,CVU,DD,Jan-2017,Feb-2009,AL,,https://cichlidae.com/species.php?id=197
Cichlidae,Cichlids,Etroplus canarensis,CVU,EN,Jan-2017,Mar-2011,PVL,,https://cichlidae.com/species.php?id=162
Cichlidae,Cichlids,Gaurochromis hiatus,CR,,Mar-2010,,IUCN,http://www.iucnredlist.org/details/185809/8482069,https://cichlidae.com/species.php?id=1789
Cichlidae,Cichlids,Gaurochromis,CEN,,Jul-2024,,PG,,
Cichlidae,Cichlids,Gobiocichla ethelwynnae,CEN,EN,Apr-2024,Feb-2009,AL,,https://cichlidae.com/species.php?id=1535
